stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
06A_1_S21,STOP_06A_1_S21,,20.888553,105.857574,,
06A_1_S22,STOP_06A_1_S22,,20.880187,105.860190,,
06A_1_S23,STOP_06A_1_S23,,20.874903,105.862874,,
06A_1_S24,STOP_06A_1_S24,,20.869170,105.865057,,
06A_1_S25,STOP_06A_1_S25,,20.863854,105.866857,,
06A_1_S26,STOP_06A_1_S26,,20.854270,105.870074,,
06A_1_S27,STOP_06A_1_S27,,20.843037,105.872624,,
06A_1_S28,STOP_06A_1_S28,,20.831004,105.877540,,
06A_1_S29,STOP_06A_1_S29,,20.823655,105.881707,,
06A_1_S30,STOP_06A_1_S30,,20.806655,105.883773,,
06A_1_S31,STOP_06A_1_S31,,20.797172,105.886606,,
06A_1_S32,STOP_06A_1_S32,,20.785972,105.892006,,
06A_1_S33,STOP_06A_1_S33,,20.773489,105.899023,,
06A_1_S34,STOP_06A_1_S34,,20.769406,105.903223,,
06A_1_S35,STOP_06A_1_S35,,20.762406,105.909223,,
06A_1_S36,STOP_06A_1_S36,,20.756211,105.911726,,
06A_1_S37,STOP_06A_1_S37,,20.747240,105.911339,,
06A_1_S38,STOP_06A_1_S38,,20.741540,105.913273,,
06A_1_S39,STOP_06A_1_S39,,20.737990,105.913306,,
06A_1_S40,STOP_06A_1_S40,,20.731274,105.912206,,
06A_1_S41,STOP_06A_1_S41,,20.720957,105.911339,,
06A_1_S42,STOP_06A_1_S42,,20.715841,105.910573,,
06A_1_S43,STOP_06A_1_S43,,20.708257,105.910406,,
06A_1_S44,STOP_06A_1_S44,,20.703291,105.910189,,
06A_1_S45,STOP_06A_1_S45,,20.696408,105.910306,,
06A_2_S1,STOP_06A_2_S1,,20.696408,105.910306,,
06A_2_S2,STOP_06A_2_S2,,20.702324,105.910373,,
06A_2_S3,STOP_06A_2_S3,,20.709307,105.910639,,
06A_2_S4,STOP_06A_2_S4,,20.714874,105.910606,,
06A_2_S5,STOP_06A_2_S5,,20.721607,105.911689,,
06A_2_S6,STOP_06A_2_S6,,20.731974,105.912273,,
06A_2_S7,STOP_06A_2_S7,,20.737123,105.913039,,
06A_2_S8,STOP_06A_2_S8,,20.741890,105.913256,,
06A_2_S9,STOP_06A_2_S9,,20.746507,105.911689,,
06A_2_S10,STOP_06A_2_S10,,20.753240,105.911356,,
06A_2_S11,STOP_06A_2_S11,,20.763023,105.908756,,
06A_2_S12,STOP_06A_2_S12,,20.769306,105.903473,,
06A_2_S13,STOP_06A_2_S13,,20.773989,105.898673,,
06A_2_S14,STOP_06A_2_S14,,20.785656,105.892223,,
06A_2_S15,STOP_06A_2_S15,,20.796605,105.886940,,
06A_2_S16,STOP_06A_2_S16,,20.806372,105.883823,,
06A_2_S17,STOP_06A_2_S17,,20.823138,105.882090,,
06A_2_S18,STOP_06A_2_S18,,20.830371,105.877973,,
06A_2_S19,STOP_06A_2_S19,,20.842871,105.872740,,
06A_2_S20,STOP_06A_2_S20,,20.854021,105.870190,,
06A_2_S21,STOP_06A_2_S21,,20.864820,105.866590,,
06A_2_S22,STOP_06A_2_S22,,20.870720,105.864724,,
06A_2_S23,STOP_06A_2_S23,,20.876470,105.862357,,
06A_2_S24,STOP_06A_2_S24,,20.879553,105.860657,,
06A_2_S25,STOP_06A_2_S25,,20.887236,105.858057,,
06A_2_S26,STOP_06A_2_S26,,20.894286,105.855824,,
06A_2_S27,STOP_06A_2_S27,,20.902236,105.853474,,
06A_2_S28,STOP_06A_2_S28,,20.907802,105.852574,,
06A_2_S29,STOP_06A_2_S29,,20.911486,105.852390,,
06A_2_S30,STOP_06A_2_S30,,20.918852,105.852257,,
06A_2_S31,STOP_06A_2_S31,,20.923185,105.851591,,
06A_2_S32,STOP_06A_2_S32,,20.926969,105.849407,,
06A_2_S33,STOP_06A_2_S33,,20.932190,105.847149,,
06A_2_S34,STOP_06A_2_S34,,20.935702,105.845791,,
06A_2_S35,STOP_06A_2_S35,,20.939335,105.844341,,
06A_2_S36,STOP_06A_2_S36,,20.944402,105.844407,,
06A_2_S37,STOP_06A_2_S37,,20.947252,105.844307,,
06A_2_S38,STOP_06A_2_S38,,20.951879,105.843979,,
06A_2_S39,STOP_06A_2_S39,,20.955851,105.843224,,
06A_2_S40,STOP_06A_2_S40,,20.958151,105.842757,,
06A_2_S41,STOP_06A_2_S41,,20.965018,105.841957,,
06A_2_S42,STOP_06A_2_S42,,20.971297,105.841121,,
06A_2_S43,STOP_06A_2_S43,,20.980201,105.841458,,
06B_1_S1,STOP_06B_1_S1,,20.980101,105.841757,,
06B_1_S2,STOP_06B_1_S2,,20.980634,105.840691,,
06B_1_S3,STOP_06B_1_S3,,20.976517,105.840624,,
